neuron_id,subject_id,session_id,area,spike_count
0,p6WV,p6WV_CelebA_Sess1,LAH,383
1,p6WV,p6WV_CelebA_Sess1,LAH,100
2,p6WV,p6WV_CelebA_Sess1,LAH,7732
3,p6WV,p6WV_CelebA_Sess1,LAH,231
4,p6WV,p6WV_CelebA_Sess1,LAH,2461
5,p6WV,p6WV_CelebA_Sess1,LAH,4098
6,p6WV,p6WV_CelebA_Sess1,LAH,1135
7,p6WV,p6WV_CelebA_Sess1,LAH,3665
8,p6WV,p6WV_CelebA_Sess1,LAH,1272
9,p6WV,p6WV_CelebA_Sess1,LAH,6451
10,p6WV,p6WV_CelebA_Sess1,LAH,1443
11,p6WV,p6WV_CelebA_Sess1,LAH,77
12,p6WV,p6WV_CelebA_Sess1,LAH,813
13,p6WV,p6WV_CelebA_Sess1,LAH,805
14,p6WV,p6WV_CelebA_Sess1,LAH,169
15,p6WV,p6WV_CelebA_Sess1,LAH,221
16,p6WV,p6WV_CelebA_Sess1,LAH,1493
17,p6WV,p6WV_CelebA_Sess1,LAH,747
18,p6WV,p6WV_CelebA_Sess1,LAH,181
19,p6WV,p6WV_CelebA_Sess1,LAH,1746
20,p6WV,p6WV_CelebA_Sess1,LAH,1524
21,p6WV,p6WV_CelebA_Sess1,LAH,4203
22,p6WV,p6WV_CelebA_Sess1,LAH,6733
23,p6WV,p6WV_CelebA_Sess1,LPH,216
24,p6WV,p6WV_CelebA_Sess1,LPH,4444
25,p6WV,p6WV_CelebA_Sess1,LPH,284
26,p6WV,p6WV_CelebA_Sess1,LPH,1114
27,p6WV,p6WV_CelebA_Sess1,LPH,12069
28,p6WV,p6WV_CelebA_Sess1,LPH,2435
29,p6WV,p6WV_CelebA_Sess1,LPH,55
30,p6WV,p6WV_CelebA_Sess1,LPH,87
31,p6WV,p6WV_CelebA_Sess1,LPH,119
32,p6WV,p6WV_CelebA_Sess1,LPH,20433
33,p6WV,p6WV_CelebA_Sess1,LPH,423
34,p6WV,p6WV_CelebA_Sess1,LA,659
35,p6WV,p6WV_CelebA_Sess1,LA,152
36,p6WV,p6WV_CelebA_Sess1,LA,645
37,p6WV,p6WV_CelebA_Sess1,LA,728
38,p6WV,p6WV_CelebA_Sess1,LA,6217
39,p6WV,p6WV_CelebA_Sess1,LA,3173
40,p6WV,p6WV_CelebA_Sess1,LA,2842
41,p6WV,p6WV_CelebA_Sess1,LA,2133
42,p6WV,p6WV_CelebA_Sess1,LA,757
43,p6WV,p6WV_CelebA_Sess1,LA,4963
44,p6WV,p6WV_CelebA_Sess1,LAH,886
45,p6WV,p6WV_CelebA_Sess1,LAH,2231
46,p6WV,p6WV_CelebA_Sess1,LAH,659
47,p6WV,p6WV_CelebA_Sess1,LAH,288
48,p6WV,p6WV_CelebA_Sess1,LAH,314
49,p6WV,p6WV_CelebA_Sess1,LAH,3477
50,p6WV,p6WV_CelebA_Sess1,LAH,3310
51,p6WV,p6WV_CelebA_Sess1,LAH,418
52,p6WV,p6WV_CelebA_Sess2,LAH,121
53,p6WV,p6WV_CelebA_Sess2,LAH,6221
54,p6WV,p6WV_CelebA_Sess2,LAH,2457
55,p6WV,p6WV_CelebA_Sess2,LAH,700
56,p6WV,p6WV_CelebA_Sess2,LAH,206
57,p6WV,p6WV_CelebA_Sess2,LAH,253
58,p6WV,p6WV_CelebA_Sess2,LAH,444
59,p6WV,p6WV_CelebA_Sess2,LAH,2719
60,p6WV,p6WV_CelebA_Sess2,LAH,249
61,p6WV,p6WV_CelebA_Sess2,LAH,644
62,p6WV,p6WV_CelebA_Sess2,LAH,10320
63,p6WV,p6WV_CelebA_Sess2,LPH,58
64,p6WV,p6WV_CelebA_Sess2,LPH,75
65,p6WV,p6WV_CelebA_Sess2,LPH,361
66,p6WV,p6WV_CelebA_Sess2,LPH,1502
67,p6WV,p6WV_CelebA_Sess2,LPH,437
68,p6WV,p6WV_CelebA_Sess2,LPH,328
69,p6WV,p6WV_CelebA_Sess2,LPH,814
70,p6WV,p6WV_CelebA_Sess2,LPH,441
71,p6WV,p6WV_CelebA_Sess2,LPH,5908
72,p6WV,p6WV_CelebA_Sess2,LPH,908
73,p6WV,p6WV_CelebA_Sess2,LPH,1563
74,p6WV,p6WV_CelebA_Sess2,LPH,300
75,p6WV,p6WV_CelebA_Sess2,LPH,1851
76,p6WV,p6WV_CelebA_Sess2,LPH,5293
77,p6WV,p6WV_CelebA_Sess2,LPH,1586
78,p6WV,p6WV_CelebA_Sess2,LPH,392
79,p6WV,p6WV_CelebA_Sess2,LPH,1425
80,p6WV,p6WV_CelebA_Sess2,LA,830
81,p6WV,p6WV_CelebA_Sess2,LA,461
82,p6WV,p6WV_CelebA_Sess2,LA,7294
83,p6WV,p6WV_CelebA_Sess2,LA,1265
84,p6WV,p6WV_CelebA_Sess2,LA,1672
85,p6WV,p6WV_CelebA_Sess2,LA,5354
86,p6WV,p6WV_CelebA_Sess2,LA,205
87,p6WV,p6WV_CelebA_Sess2,LA,1464
88,p6WV,p6WV_CelebA_Sess2,LA,4407
89,p6WV,p6WV_CelebA_Sess2,LA,675
90,p6WV,p6WV_CelebA_Sess2,LAH,116
91,p6WV,p6WV_CelebA_Sess2,LAH,1130
92,p6WV,p6WV_CelebA_Sess2,LAH,822
93,p6WV,p6WV_CelebA_Sess2,LAH,384
94,p6WV,p6WV_CelebA_Sess2,LAH,3836
95,p7WV,p7WV_CelebA_Sess1,LAH,1208
96,p7WV,p7WV_CelebA_Sess1,LAH,258
97,p7WV,p7WV_CelebA_Sess1,LAH,323
98,p7WV,p7WV_CelebA_Sess1,LAH,17931
99,p7WV,p7WV_CelebA_Sess1,LAH,1595
100,p7WV,p7WV_CelebA_Sess1,LAH,1306
101,p7WV,p7WV_CelebA_Sess1,LAH,875
102,p7WV,p7WV_CelebA_Sess1,LAH,25243
103,p7WV,p7WV_CelebA_Sess1,LAH,711
104,p7WV,p7WV_CelebA_Sess1,LAH,371
105,p7WV,p7WV_CelebA_Sess1,LAH,390
106,p7WV,p7WV_CelebA_Sess1,LAH,5921
107,p7WV,p7WV_CelebA_Sess1,LAH,6062
108,p7WV,p7WV_CelebA_Sess1,LAH,121
109,p7WV,p7WV_CelebA_Sess1,LAH,1154
110,p7WV,p7WV_CelebA_Sess1,LAH,3723
111,p7WV,p7WV_CelebA_Sess1,LAH,12917
112,p7WV,p7WV_CelebA_Sess1,LAH,5194
113,p7WV,p7WV_CelebA_Sess1,LAH,1459
114,p7WV,p7WV_CelebA_Sess1,LAH,532
115,p7WV,p7WV_CelebA_Sess1,LAH,2038
116,p7WV,p7WV_CelebA_Sess1,LAH,23931
117,p7WV,p7WV_CelebA_Sess1,LAH,600
118,p7WV,p7WV_CelebA_Sess1,LAH,1534
119,p7WV,p7WV_CelebA_Sess1,LAH,242
120,p7WV,p7WV_CelebA_Sess1,LAH,14599
121,p7WV,p7WV_CelebA_Sess1,LAH,1125
122,p7WV,p7WV_CelebA_Sess1,LAH,1618
123,p7WV,p7WV_CelebA_Sess1,LAH,253
124,p7WV,p7WV_CelebA_Sess1,LPH,95
125,p7WV,p7WV_CelebA_Sess1,LPH,958
126,p7WV,p7WV_CelebA_Sess1,LA,4775
127,p7WV,p7WV_CelebA_Sess1,LA,317
128,p7WV,p7WV_CelebA_Sess1,LA,70
129,p7WV,p7WV_CelebA_Sess1,LA,353
130,p7WV,p7WV_CelebA_Sess1,LA,4299
131,p7WV,p7WV_CelebA_Sess1,LA,672
132,p7WV,p7WV_CelebA_Sess1,LA,697
